N‰ringsv‰rden per 100 gram livsmedel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Livsmedelsnamn;Livsmedelsnummer;Energi (kJ)(kJ);Energi (kJ)(kJ);Protein(g);Fett(g);Kolhydrater(g);Fibrer(g);Salt(g);Aska(g);Vatten(g);Alkohol(g);Monosackarider(g);Disackarider(g);Sackaros(g);Fullkorn totalt(g);Summa m‰ttade fettsyror(g);Fettsyra 4:0-10:0(g);Fettsyra 12:0(g);Fettsyra 14:0(g);Fettsyra 16:0(g);Fettsyra 18:0(g);Fettsyra 20:0(g);Summa enkelom‰ttade fettsyror(g);Fettsyra 16:1(g);Fettsyra 18:1(g);Summa flerom‰ttade fettsyror(g);Summa n-6 fettsyror(g);Fettsyra 18:2(g);Fettsyra 20:4(g);Summa n-3 fettsyror(g);Fettsyra 18:3(g);Summa lÂnga n-3 fettsyror(g);EPA (Fettsyra 20:5)(g);DPA (Fettsyra 22:5)(g);DHA (Fettsyra 22:6)(g);Summa transfettsyror(g);Kolesterol(mg);Vitamin A();Retinol(µg);beta-Karoten(µg);Vitamin D(µg);Vitamin E(mg);Vitamin K(µg);Tiamin(mg);Riboflavin(mg);Vitamin C(mg);Niacin(mg);Niacinekvivalenter();Vitamin B6(mg);Vitamin B12(µg);Fosfor(mg);Folat(µg);Jod(µg);Avfall (skal etc.)(%);J‰rn(mg);Kalcium(mg);Kalium(mg);Magnesium(mg);Natrium(mg);Selen(µg);Zink(mg)
Bagel m salami philadelphiaost sallad oliv;780;695;166;5,9;7,5;17,2;2,9;0,8;1,4;65,1;0;1,9;1,3;0;0;3,6;0,2;0,1;0,4;1,9;0,9;0;2,7;0,1;2,5;0,6;;0,5;0;;0,1;0;0;0;0;;15,7;19;14;64;0,1;0,3;3;0,08;0,07;3;1;2,4;0,1;0,21;58;16;12;0;0,82;43;146;13;328;2,1;0,48
Baguette grov m ost skinka sallad l‰ttmajonn‰s;779;768;184;7,7;4,6;25,9;3,5;0,8;1,5;56,8;0;1,5;1,6;0;0;1,5;0,1;0,1;0,2;0,8;0,3;0;1,9;0;1,8;0,8;;0,6;0;;0,2;0;0;0;0;;8,3;17;14;41;0,1;0,4;8;0,14;0,13;0;1,7;3,5;0,12;0,21;127;24;3;0;0,96;72;185;25;335;3;0,93
Baguette grov m skaldjur tonfisk smˆgenrˆra sallad;778;790;189;5,7;6,1;26,2;2,9;0,7;1,3;57,9;0;1,7;1,3;0;0;0,4;0;0;0;0,3;0,1;0;2,5;0;2,4;1,3;;0,9;0;;0,4;0;0;0;0;;6,2;6;0;63;0,1;2,1;16;0,08;0,05;1;1,6;2,7;0,1;0,17;86;20;4;0;0,84;29;169;22;292;5,8;0,45
Baguette m rostbiff potatissallad sallad;777;824;197;6,6;5,7;28,4;2,5;1;1,5;55,4;0;1;1;0;0;0,7;0;0;0;0,4;0,2;0;3;0;2,9;1,5;;1;0;;0,5;0;0;0;0;;7,7;6;4;22;0,1;0,2;17;0,08;0,06;0;1,1;2,3;0,1;0,21;71;20;2;0;0,84;25;156;16;403;1,8;0,87
Baguette m salami brieost soltorkad tomat sallad;743;1006;240;9,3;13,4;19,7;1,9;1,8;2,7;53;0;1,7;1,1;0;0;5,7;0,3;0,4;0,7;3;1,1;0;4,7;0,2;4,3;1,9;;1,6;0;;0,2;0;0;0;0;;29;70;60;119;0,21;1,5;10;0,16;0,12;0;1,7;3,9;0,15;0,24;107;26;12;0;0,87;105;244;22;715;3,7;0,99
Bakad potatis m kesorˆra paprika;280;390;93;4;0,9;15,8;2,4;0,4;1,3;75,7;0;0,7;0,2;0;0;0,5;0;0;0,1;0,2;0,1;0;0,3;0;0,3;0,1;;0,1;0;;0;0;0;0;0;;2,8;7;6;9;0,1;0,1;1;0,04;0,05;0;1,3;2,2;0,25;0,13;55;23;3;0;0,41;15;448;21;151;1,8;0,34
Bakad potatis m kycklingcurryrˆra sallad;254;652;156;3,3;12,2;7,1;3;0,3;1,1;73,3;0;1;0;0;0;1,3;0;0,1;0;0,8;0,2;0,1;6,3;0;6,1;3,8;;2,9;0;;1;0;0;0;0;;17,3;16;13;40;0,2;3,3;15;0,05;0,04;6;1,9;2,5;0,15;0,1;56;18;5;0;0,46;15;347;18;113;1,8;0,42
Bakad potatis m skagenrˆra sallad;260;666;159;3,1;10,8;11,2;2,7;0,4;1,2;70,9;0;0,9;0,3;0;0;1,7;0,1;0,1;0,1;1;0,3;0,1;5,4;0;5,2;3,1;;2,3;0;;0,8;0;0;0;0;;20;21;18;38;0,1;2,6;23;0,05;0,04;6;1,6;2,1;0,17;0,14;48;14;13;0;0,35;27;364;22;151;2,4;0,37
Bakpulver;1981;727;174;0,1;0;42,4;0,5;19,7;50,7;6,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;9918;0;;0;0;7364;49;9;7893;0;2,8
Bambuskott konserv u lag;393;100;24;1,7;0,4;3,1;0,5;0;0,3;94;0;0,9;0,3;0,3;0;0,1;0;0;0;0,1;0;0;0;0;0;0,2;;0,2;0;;0;;0;0;0;0;0;1;0;6;0;0,2;;0,03;0,03;1;0,1;0,4;0,1;0;25;36;;0;0,3;8;80;4;7;1;0,2
Banan;553;423;101;1;0,5;22;1,7;0;0,8;74;0;7,1;6,4;6,4;0;0,2;0;0;0;0,2;0;0;0,1;0;0;0,1;;0,1;0;;0;;0;0;0;0;0;1;0;14;0;0,6;;0,04;0,1;9;0,5;0,7;0,58;0;20;19;0;37;0,4;6;395;33;1;0,5;0,2
Banan torkad;600;1567;374;3,9;1,8;80,8;7,5;0;3;3;0;31;27,9;27,9;0;0,7;0;0;0;0,6;0;0;0,2;0;0,1;0,3;;0,2;0;;0,1;;0;0;0;0;0;16;0;186;0;0;;0,18;0,24;7;2,8;3,5;0;0;74;36;;0;1,2;22;1490;108;3;1,9;0,6
Basilika f‰rsk;379;104;25;2,5;0,6;0,4;3,9;0;1,6;91;0;0;0,3;0,3;0;0;0;0;0;0;0;0;0,1;0;0,1;0,4;;0,1;0;;0,3;;0;0;0;0;0;263;0;3142;0;0,8;;0,03;0,07;18;0,9;1,4;0,13;0;69;64;;0;3,17;154;462;81;4;0,3;0,85
Basmatiris kokt;2513;507;121;3,1;0,3;25,9;0,2;0,6;0,8;69,7;0;0;0,1;0,1;0;0,1;0;0;0;0,1;0;0;0,1;0;0,1;0,1;;0,1;0;;0;0;0;0;0;0;0;0;0;0;0;0;;0,04;0,02;0;0,4;0,9;0,09;0;35;2;28;0;0,14;7;23;9;220;4,7;0,51
Basmatiris okokt;2475;1501;359;9,2;1;76,7;0,5;0;0,6;12;0;0;0,2;0,2;0;0,2;0;0;0;0,2;0;0;0,3;0;0,3;0,3;;0,3;0;;0;0;0;0;0;0;0;0;0;0;0;0;;0,14;0,05;0;1,3;2,8;0,42;0;101;9;;;0,4;18;76;26;0;14;1,5
Bearnaise sÂs typ Spisa Rydbergs;2231;1432;342;1;35,5;5,9;0;1,2;1,5;56,1;0;0,2;2,8;1,7;0;5,1;0;0;0;3,7;1;0,1;8,6;0;8,3;20,2;18,1;18,2;0;2;2;;0;0;0;0;0;70;10;727;0;7,4;85;0,01;0,05;0;0,1;0,3;0,03;0,07;28;5;2;;0,09;35;84;5;484;0;0,14
BearnaisesÂs;58;2076;496;2,5;54,4;1,2;0,1;0,6;1;40,1;0;0,2;0,1;0,1;0;6,1;0,1;0;0,1;3,8;1,4;0,3;31,1;0,3;30;14,4;9,3;10,2;0,1;3,7;4;0;0;0;0;0,3;152,7;268;252;185;3,2;15,1;61;0,04;0,09;3;0;0,7;0,04;0,54;86;29;26;0;0,59;31;41;5;258;9;0,56
BearnaisesÂs fett 8% Kelda;2228;468;112;2,3;8;7,7;0;1,4;1,9;80,1;0;0;2,8;0,1;0;5,2;0,7;0,3;0,8;2,3;0,8;0;2;0,1;1,8;0,3;0,2;0,3;0;0;0;;0;0;0;0,3;23,6;91;53;466;0;0,2;2;0,33;0,13;0;0,2;0,7;0,04;0,08;59;6;7;;0,07;43;101;69;562;0;0,25
BearnaisesÂs fryst el pulver tillagad;63;935;224;2,6;21;6,7;0;1,3;1,7;68;0;0,1;3;0;0;7,5;0,3;1;0,7;3;2,3;0,2;9,4;0,3;8,6;3,2;;2,6;0;;0,6;;0;0;0;;74;90;90;0;0,2;2,1;;0,02;0,09;0;0;0,5;0,08;0;80;5;;0;0,3;62;96;2;520;3;0
BÈchamelsÂs;1985;517;124;4,3;8,2;8,2;0,1;0,8;1,6;77,6;0;0;5,3;0;0;3,1;0,3;0,1;0,5;1,6;0,5;0;3,3;0,1;3,1;1,2;0,7;0,8;0;0,3;0,3;0;0;0;0;0,2;14,2;52;48;39;0,56;1,1;5;0,07;0,15;0;0,2;1,2;0,06;0,58;118;12;48;0;0,08;135;183;13;333;1,9;0,51
BÈchamelsÂs l‰ttmjˆlk;1982;384;92;4,5;4,5;8,4;0,1;0,8;1,6;81;0;0;5,6;0;0;0,7;0,1;0;0,1;0,4;0,1;0;2,4;0;2,3;1,1;0,7;0,8;0;0,3;0,3;0;0;0;0;0;3,7;46;45;12;0,71;1;4;0,08;0,15;0;0,2;1,2;0,06;0,6;123;12;49;0;0,08;141;191;14;334;1,9;0,52
Biff ‡ la Lindstrˆm stekt fryst;1136;805;193;12,8;12,7;5,8;2,4;1,9;3,3;63;0;0,9;2,3;2,3;0;5,3;0;0;0,3;3,1;1,5;0;5,9;0,6;5;0,8;;0,5;0;;0,1;;0;0;0;;68;50;49;9;0,63;0,7;;0,7;0,1;0;3;5,4;0,2;1,5;117;12;;0;1,6;39;270;25;760;2;2,9
Biff ‡ la Lindstrˆm stekt hemlagad;1105;618;148;12,3;8,1;6,1;0,7;0,9;1,8;71;0;0,4;2,5;2,5;0;3,1;0;0,2;0,2;1,6;0,9;0;3,7;0,3;3,2;0,8;;0,6;0;;0,1;;0;0;0;;65;13;12;9;0,59;0,6;;0,15;0,1;2;2,5;4,8;0,22;0,7;112;12;;0;1,7;16;250;20;345;2;2,1
Biff m bambuskott restaurang;1137;405;97;8,2;5,8;2,4;1,2;1,8;2,1;80,3;0;0,4;0,6;0,6;0;0,9;0;0;0;0,6;0,2;0;2,8;0;2,6;1,9;;1,6;0;;0,3;0;0;0;0;0,1;19;3;3;30;0,1;0,3;4;0,02;0,06;1;1,5;3;0,1;0,25;56;16;3;0;0,88;10;117;8;700;1,7;1,05
Biff m grˆnsaker o sÂs nˆtkˆtt kinesisk r‰tt;1097;488;117;7,1;7,2;5,5;0,9;1,4;1,9;77,4;0;0,8;0,9;0,9;0;2,8;0;0,1;0,2;1,6;0,7;0;3,5;0,4;2,9;0,5;;0,3;0;;0,1;;0;0;0;;39;130;24;1270;0,23;0,5;;0,05;0,1;5;2,9;4,2;0,26;0,8;114;8;;0;1,6;14;150;45;560;1;2
Biff Stroganoff nˆtkˆtt;1062;632;151;13,1;10;1,9;0,4;0,9;1,5;72,9;0;0,7;0,6;0,3;0;4,5;0,5;0,1;0,6;2,1;1;0;3,7;0,1;3,5;1;0,6;0,7;0;0,3;0,3;0;0;0;0;0,2;46,3;54;51;46;0,2;1,3;5;0,04;0,1;1;3,3;5,7;0,19;0,56;123;6;41;1;1,56;22;246;17;362;4,5;2,68
Biff Stroganoff nˆtkˆtt fryst;1087;450;108;11,9;4,4;4,8;0,4;1,8;2,5;76;0;1;1,2;0,2;0;1,8;0;0;0,1;1,1;0,5;0;2,1;0,2;1,8;0,2;;0,1;0;;0;;0;0;0;;68;99;90;108;0,86;1,1;;0,04;0,13;0;1,9;4,1;0,13;1,5;109;6;;0;1,5;36;235;11;730;2,5;2,7
Bjˆrnb‰r;554;184;44;0,7;0,4;6,5;5,9;0;0,5;86;0;5,2;1,2;0,5;0;0;0;0;0;0;0;0;0;0;0;0,3;;0,1;0;;0,1;;0;0;0;0;0;8;0;96;0;0,6;;0,03;0,04;21;0,4;0,5;0,06;0;21;34;0;4;0,6;32;196;23;2;0;0,3
Bjˆrnb‰r frysta;591;243;58;1;0,5;8,8;7,2;0;0,5;82;0;6,4;1,5;0,6;0;0;0;0;0;0;0;0;0;0;0;0,3;;0,2;0;;0,2;;0;0;0;0;0;6;0;66;0;0,6;;0,03;0,05;5;1,2;1,4;0,06;0;30;34;;0;0,4;20;160;22;1;0;0,3
Bjˆrnb‰r sockrade frysta;592;288;69;1;0,5;12;6;0;0,5;80;0;4,2;7,8;7,8;0;0;0;0;0;0;0;0;0;0;0;0,3;;0,2;0;;0,2;;0;0;0;0;0;5;0;60;0;0,5;;0,03;0,05;10;1,1;1,3;0,06;0;27;26;;0;0,4;18;146;20;1;0;0,2
Bjˆrnb‰rssylt;1802;727;174;0,2;0,1;41,2;2,4;0,1;0,1;56;0;25,1;16,9;16,9;0;0;0;0;0;0;0;0;0;0;0;0,1;;0;0;;0;;0;0;0;0;0;3;0;36;0;0,3;;0;0,01;0;0,2;0,2;0;0;18;5;;0;0,5;20;100;11;50;0;0,1
Blodbrˆd fullkorn hÂrt;1425;1533;366;17,7;1,9;65,5;6;0,4;1,5;7,4;0;0;0,6;0,1;42;0,2;0;0;0;0,2;0;0;0,5;0;0,5;0,7;;0,6;0;;0,1;;0;0;0;;30;12;12;0;0,87;0,2;;0,45;0,13;0;3,3;6,6;0,24;0,4;465;14;;0;19,8;36;240;16;160;3;1,3
Blodbrˆd paltbrˆd;1429;1199;287;14,4;2,8;47,8;4,7;0,9;3,3;27;0;9,6;18,6;18,6;0;0,3;0;0;0;0,2;0;0;0,7;0;0,7;1;;0,9;0;;0,2;;0;0;0;;60;12;12;0;0,9;0,2;;0,33;0,17;0;2,5;5,1;0,28;0,4;235;14;;0;26;41;170;16;350;3;1,3
Blodpalt;1427;712;170;8,6;4,2;21,9;4,7;0,9;2,6;58;0;4,8;9,3;9,3;0;0,5;0;0;0;0,4;0,1;0;1,4;0;1,3;1,9;;1,6;0;;0,3;;0;0;0;;60;12;12;0;0,9;0,2;;0,11;0,06;0;1,7;3,3;0,12;0,4;123;14;;0;13,3;18;170;16;350;3;0,9
Blodpudding blodkorv fett 13% stekt;1431;1091;261;11,3;14,4;20,5;2,4;1;1,7;49,7;0;3,8;7,4;7,4;0;5,7;0;0;0,3;3,3;1,8;0;6,6;0,6;5,8;1,1;;1;0;;0,1;;0;0;0;;66,7;10;10;0;1,03;0,2;;0,06;0,04;0;0,9;3;0,08;0,08;94;4;;0;19,5;17;143;16;410;3,1;1,23
Blodpudding blodkorv fett 14%;1428;1063;254;11;14;20;2,3;1;1,7;51;0;3,7;7,2;7,2;0;5,6;0;0;0,3;3,2;1,8;0;6,5;0,6;5,6;1,1;;1;0;;0,1;;0;0;0;;65;10;10;0;1;0,2;;0,08;0,05;0;0,9;2,9;0,1;0,1;92;5;;0;19;17;139;16;400;3;1,2
Blodpudding blodkorv fett 19%;1426;1259;301;10,6;19;21;2,3;0,9;2,1;45;0;4,2;8,2;8,2;0;9,4;0;0;0,6;5,3;3,4;0,1;7,4;0,5;6,6;1,3;;1,1;0;;0,1;;0;0;0;;65;12;12;0;0,9;0,2;;0,05;0,06;0;0,8;2,7;0,08;0,4;84;5;;0;17,7;19;170;16;350;3;0,9
Blodpudding blodkorv fett 8% stekt;1432;872;209;12,4;9,3;17,8;2,1;1;1,8;56,7;0;4,1;7,9;7,9;0;4;0;0;0,1;2,3;1,5;0;3,7;0,2;3,4;1;;0,9;0;;0,1;;0;0;0;;66,9;9;9;0;0,1;0;;0,03;0,02;0;0,8;3;0,07;0,12;95;4;;0;17,51;18;143;16;412;3,1;1,24
Blodpudding blodkorv fett ca 10%;1430;847;203;12;9;17,3;2;1;1,7;58;0;4;7,7;7,7;0;3,9;0;0;0,1;2,2;1,5;0;3,6;0,2;3,3;1;;0,9;0;;0,1;;0;0;0;;65;8;8;0;0,1;0;;0,04;0,03;0;0,7;2,9;0,08;0,14;92;5;;0;17;17;139;16;400;3;1,2
BlomkÂl;322;102;24;1,9;0,2;2,6;2,3;0;0,8;92,2;0;2,1;0,6;0,6;0;0;0;0;0;0;0;0;0;0;0;0,1;;0;0;;0,1;0;0;0;0;0;0;1;0;6;0;0,1;27;0,06;0,05;79;0,5;0,8;0,18;0;43;88;1;21;0,34;23;340;11;6;0;0,25
BlomkÂl fryst;323;99;24;2;0,3;2,3;1,9;0;0,5;93;0;2;0,1;0,1;0;0,1;0;0;0;0,1;0;0;0;0;0;0,2;;0;0;;0,1;;0;0;0;0;0;2;0;18;0;0,1;;0,05;0,07;49;0,4;0,7;0,12;0;34;64;1;0;0,5;22;220;10;9;0,5;0,3
BlomkÂl gratinerad;433;387;92;5,2;4,9;6,2;1,6;0,8;1,9;80,3;0;1,3;2,9;0,4;0;2,4;0,3;0,1;0,4;1,1;0,4;0;1,6;0,1;1,5;0,5;0,2;0,3;0;0,1;0,2;0;0;0;0;0,1;10,7;37;33;49;0,08;0,5;19;0,06;0,11;11;0,5;1,6;0,07;0,35;121;38;43;13;0,28;134;276;16;337;1,6;0,63
BlomkÂl kokt;434;102;24;1,9;0,2;2,6;2,3;0,3;1,1;91,9;0;2,1;0,6;0,6;0;0;0;0;0;0;0;0;0;0;0;0,1;;0;0;;0;0;0;0;0;0;0;0;0;6;0;0,1;27;0,04;0,03;35;0,5;0,8;0,11;0;43;62;15;21;0,34;23;285;11;117;0;0,25
BlomkÂlssoppa pulver tillagad m vatten mjˆlk;496;213;51;1,6;2,2;5,9;0,3;0,9;1,3;88,7;0;0,2;1,6;0;0;1;0,1;0;0,1;0,5;0,3;0;1;0;0,9;0,1;;0,1;0;;0;;0;0;0;0;2;7;7;4;0;0,4;;0,23;0,06;0;0,2;0,4;0,04;0,08;45;22;;0;0,11;33;86;4;374;0,5;0,23
BlomkÂlsstuvning;435;252;60;2,9;2,6;5,5;1,5;0,7;1,5;85,9;0;1,3;2,4;0,4;0;0,9;0,1;0;0,1;0,5;0,2;0;1,1;0;1;0,4;0,2;0,3;0;0,1;0,1;0;0;0;0;0;4,2;17;14;37;0,07;0,4;18;0,06;0,08;23;0,5;1;0,09;0,21;72;44;40;13;0,27;66;248;12;297;0,7;0,36
BlÂb‰r;555;221;53;0,7;0,8;9,1;3,1;0;0,3;86;0;5,9;0,5;0,5;0;0;0;0;0;0;0;0;0,1;0;0,1;0,5;;0,2;0;;0,3;;0;0;0;0;0;9;0;96;0;0,1;15;0,04;0,07;8;0,3;0,4;0,06;0;20;10;1;2;0,6;23;86;9;3;0;0,2
BlÂb‰r frysta;556;181;43;0,5;0,5;7,6;3,1;0;0,3;88;0;5,9;0,5;0,5;0;0;0;0;0;0;0;0;0,1;0;0,1;0,3;;0,1;0;;0,2;;0;0;0;0;0;1;0;13;0;0,1;;0,04;0,07;5;0,3;0,4;0,06;0;20;6;;0;0,6;20;86;9;3;0;0,2
BlÂb‰r sockrade frysta;557;346;83;0,4;0,1;18,3;3,1;0;0,1;78;0;5,9;10,5;10,5;0;0;0;0;0;0;0;0;0;0;0;0,1;;0;0;;0;;0;0;0;0;0;1;0;13;0;0,1;;0,02;0,05;1;0,3;0,4;0,06;0;7;6;;0;0,4;6;60;2;3;0;0,1
BlÂb‰r torkade;601;1382;330;4,6;1;69,8;10;0;1,6;13;0;36,6;9,3;9,3;0;0;0;0;0;0;0;0;0,1;0;0,1;0,6;;0,3;0;;0,4;;0;0;0;0;0;13;0;150;0;0,2;;0,02;0,1;3;1,5;2,3;0,2;0;120;12;;0;4,8;140;559;53;16;0;1
BlÂb‰rssoppa;1734;197;47;0,2;0,3;10,3;1;0;0,1;88,1;0;1,9;6,1;6,1;0;0;0;0;0;0;0;0;0;0;0;0,2;;0,1;0;;0,1;;0;0;0;0;0;3;0;31;0;0;5;0,01;0,01;1;0,1;0,1;0,01;0;7;2;0;1;0,2;11;21;4;3;0;0,07
BlÂb‰rssoppa berik pastˆriserad ;1749;193;46;0,3;0;10,9;0,3;0;0,5;88;0;1,6;7,4;7,4;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;;0;0;0;0;0;1;0;6;0;0;;0,01;0,02;25;0,1;0,2;0,01;0;0;1;;0;0,1;5;6;2;6;0;0,1
BlÂb‰rssylt;1803;620;148;0,2;0,3;34,9;1,5;0,1;0,1;63;0;18,8;13,2;13,2;0;0;0;0;0;0;0;0;0;0;0;0,2;;0,1;0;;0,1;;0;0;0;0;0;1;0;6;0;0,1;;0,01;0,02;0;0,1;0,1;0;0;7;1;;0;0,3;13;45;5;50;0;0,1
BlÂmusslor kokta m lag avrunna;1385;474;113;18,5;3,3;2,3;0;0,7;2,4;73,5;0;0,1;0;0;0;0,5;0;0;0,1;0,3;0,1;0;0,5;0,2;0,3;1,1;0,2;0,1;0;0,9;0,1;0,7;0,4;0;0,3;0;30,9;67;61;44;0;3,1;6;0,04;0,43;0;2;5,3;0,09;7,87;393;37;180;71;4,16;66;120;60;273;68,1;2,88
Bl‰ckfisk rÂ;1384;312;75;16,4;0,9;0;0;0,9;1;81,7;0;0;0;0;0;0,3;0;0;0;0,2;0,1;0;0,1;0;0,1;0,3;;0;0,1;;0;;0,1;0;0,1;0;233;50;50;0;1,3;1,2;;0,02;0,12;0;1;4;0,05;5;119;20;;22;0,5;12;230;20;365;50;1,6
Bondbˆnor f‰rska kokta;324;279;67;5,6;0,6;7,5;4,2;0;1,1;81;0;1,2;0,5;0,5;0;0,1;0;0;0;0,1;0;0;0,1;0;0,1;0,3;;0,3;0;;0;;0;0;0;0;0;18;0;210;0;0,3;;0,17;0,11;33;1,5;2,4;0,07;0;95;104;;66;1,9;22;250;38;5;1;1,9
Bondbˆnor torkade;874;1331;318;25;1,7;41,9;16,4;0;3,1;11,9;0;2,4;1,1;1,1;0;0,2;0;0;0;0,2;0;0;0,3;0;0,3;0,7;;0,7;0;;0,1;;0;0;0;0;0;35;0;420;0;0,3;;0,5;0,3;0;2,5;6,7;0,56;0;390;423;;0;7,1;102;1530;192;13;2,2;2,8
Bondomelett;1199;516;123;6,8;6,6;8,7;1,1;1;1,6;75,1;0;0,6;0,3;0,3;0;1,4;0;0;0;1;0,4;0;3,2;0,1;3;1,3;0,8;0,9;0;0,2;0,2;0;0;0;0;0;102,1;77;73;39;0,6;2,3;12;0,08;0,14;9;1,2;2,7;0,15;0,45;98;27;25;9;0,78;24;235;16;388;7;0,89
Bordsmargarin extrasaltat fett 60% berikad typ Milda;8;2229;533;0,2;60;0,3;0;1,2;1,2;38,3;0;0;0,3;0;0;20;0,3;3,2;1,1;11,4;1,8;0;25;0;24,9;15;;12,4;0;;3,7;;0;0;0;0,5;0;800;;;10;11;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;480;0;0
Bordsmargarin fett 59 % berikad typ Flora mellan;5086;2170;519;0,3;59;0;0;1,1;1,1;39,9;0;0;0,3;0;0;23,1;1,1;6,4;2,4;11,2;1,6;0,2;23,5;0,1;22,9;9,8;7,2;7,3;0;2,5;2,6;0;0;0;0;0,1;;640;597;513;16,7;8,8;33;0;0;0;0;0;0;0;0;0;;;0;0;0;0;440;0;0
Bordsmargarin fett 60% berikad typ Carlshamn Runda Bords;2402;2246;537;0,3;60;1,2;0;1,5;1,5;37;0;0;1,2;0;0;22,3;1,4;4,5;2;12,2;1,7;0,3;23,9;0,1;22,4;11,1;7,1;7,1;0;3,8;3,9;0;0;0;0;0,3;0;900;;;7,5;8;;0;0;0;0;0,1;0;0;0;0;;;0;0;0;0;600;0;0
Bordsmargarin fett 60% berikad typ Euroshopper;4107;2237;535;0,5;60;0,5;0;1;1;38;0;0;0,5;0;0;19,9;1,1;4,2;1,7;10,2;2,2;0,3;27;0,1;26,4;10,5;7,7;7,7;0;2,6;2,7;;0;0;0;0,3;0;900;;;7,5;7,5;;0;0;0;0;0,1;0;0;0;0;;0;0;0;0;0;400;0;0
Bordsmargarin fett 70% berikad typ Becel Gold;2490;2605;623;0,4;70;0,5;0;1,3;1,3;27,9;0;0;0,5;0;0;19;0,2;3,2;1,2;11,1;2,4;0;16;0;18,8;35;;25,4;0;;6,1;;0;0;0;0,5;0;800;;;10;11;;0;0;0;0;0,1;0;0;0;0;;;0;0;0;0;500;0;0
Bordsmargarin fett 70% berikad typ Milda;7;2599;621;0,2;70;0,3;0;0,9;0,9;28,3;0;0;0,3;0;0;23;0,3;3,8;1,3;13,3;2,1;0;29;0;29,1;18;;14,5;0;;4,3;;0;0;0;0,5;0;800;;;10;11;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;360;0;0
Bordsmargarin fett 80 % berikad typ Flora original;5085;2947;704;0,3;80;0;0;1,3;1,3;18,7;0;0;0,3;0;0;31;1,5;8,6;3,2;15,1;2,1;0,3;32,2;0,1;31,3;13,3;9,7;9,7;0;3,4;3,5;0;0;0;0;0,3;;749;720;346;8,41;11,8;50;0;0;0;0;0;0;0;0;0;;;0;0;0;0;520;0;0
Bordsmargarin mjˆlkfri fett 60% berikad typ Milda;9;2220;531;0;60;0;0;0,9;0,9;39,1;0;0;0;0;0;20;0,3;3,2;1,1;11,4;1,8;0;25;0;24,9;15;;12,4;0;;3,7;;0;0;0;0,5;0;800;;;10;11;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;360;0;0
Bordsmargarin mjˆlkfri fett 70% berikad typ Carlshamn;2403;2590;619;0;70;0;0;0,8;0,8;29,3;0;0;0;0;0;21,6;1,7;5,3;2,1;10,1;1,8;0,3;30,7;0,1;29,4;14,6;9,6;9,6;0;4,8;4,9;0;0;0;0;0,1;0;800;;;10;10;;0;0;0;0;0;0;0;0;0;;;0;0;0;0;300;0;0
Borsjtj rˆdbetssoppa;317;125;30;0,7;1;4;1,1;0,8;1,1;92,1;0;1;2,4;2,4;0;0,1;0;0;0;0,1;0;0;0,5;0;0,5;0,3;0,1;0,2;0;0,1;0,1;0;0;0;0;0;0;59;3;569;0,04;0,3;6;0,01;0;3;0,2;0,3;0,03;0,02;15;16;8;8;0,13;16;110;7;304;0;0,11
Bostongurka;488;328;79;1;0,4;16,6;1,8;1,5;1,2;79;0;9,3;6,4;6,4;0;0,1;0;0;0;0,1;0;0;0;0;0;0,2;;0,1;0;;0,1;;0;0;0;0;0;32;0;384;0;0,2;;0;0;0;0,2;0,4;0;0;4;8;;0;0,1;3;170;11;600;0;0,2
Bovete hela el krossade korn;825;1419;339;11,1;2;65,3;5,8;0;1,8;14;0;0,2;0,2;0,2;0;0,3;0;0;0;0,3;0;0;0,2;0;0,2;0,9;;0,8;0;;0,1;;0;0;0;0;0;1;0;12;0;0,1;;0,39;0,1;0;3,5;5,4;0,4;0;320;40;1;0;3,8;18;460;180;1;5;2,5
Bovetegrˆt m russin;675;438;105;2,3;0,5;21,4;2,2;0,4;1;72,7;0;9,5;0,6;0,2;0;0,1;0;0;0;0,1;0;0;0,1;0;0,1;0,2;0;0,1;0;0;0;0;0;0;0;0;0,4;1;1;3;0,02;0;0;0,07;0,03;0;0,6;1;0,07;0,03;68;5;23;0;0,91;18;173;32;177;0,9;0,46
Bovetemjˆl ljust;1930;1493;357;6,6;2;76;1,9;0;0,9;12,6;0;0,2;0,2;0,2;0;0,3;0;0;0;0,2;0;0;0,5;0;0,5;0,5;;0,5;0;;0,1;;0;0;0;0;0;0;0;0;0;0,3;;0,35;0,11;0;2,7;3,8;0,28;0;190;20;;0;2,1;8;200;48;1;5;2
Braxen rÂ;1200;432;103;16,7;4;0;0;0,1;1,3;78;0;0;0;0;0;0,7;0;0;0;0,5;0,2;0;0,8;0,2;0,5;1,3;;0,2;0,2;;0,1;;0,2;0,1;0,4;0;60;14;14;0;5,5;1,3;;0,07;0,07;0;4;7,1;0,12;5;210;9;7;40;0,4;63;350;26;43;31;0,5
